;1001_IEO_NEU_XX;N
1100;1014_IWL_SAD_XX.avi;N
3882;1048_IWL_SAD_XX.avi;N
1916;1024_IWL_FEA_XX.avi;S
2597;1032_TSI_DIS_XX.avi;D
3239;1040_DFA_ANG_XX.avi;A
2515;1031_TSI_DIS_XX.avi;D
1456;1018_WSI_NEU_XX.avi;N
4002;1050_IEO_SAD_LO.avi;N
5564;1069_IEO_ANG_MD.avi;A
4943;1061_MTI_ANG_XX.avi;A
3393;1042_IWL_DIS_XX.avi;S
2609;1033_IEO_SAD_MD.avi;N
4852;1060_TAI_NEU_XX.avi;N
6106;1075_DFA_NEU_XX.avi;N
3502;1043_WSI_SAD_XX.avi;N
5985;1074_TIE_ANG_XX.avi;A
5342;1066_IWW_FEA_XX.avi;N
803;1010_WSI_ANG_XX.avi;A
117;1002_TAI_ANG_XX.avi;D
6788;1084_IEO_HAP_HI.avi;H
4638;1057_ITS_SAD_XX.avi;N
3948;1049_IWW_FEA_XX.avi;D
4010;1050_IEO_FEA_HI.avi;A
1859;1023_TSI_DIS_XX.avi;D
6948;1085_WSI_DIS_XX.avi;D
103;1002_IOM_HAP_XX.avi;H
7134;1088_TIE_DIS_XX.avi;D
1219;1016_IEO_HAP_HI.avi;H
5280;1065_ITH_NEU_XX.avi;N
1920;1024_ITH_SAD_XX.avi;S
6781;1083_WSI_SAD_XX.avi;S
517;1007_IOM_DIS_XX.avi;D
7073;1087_MTI_SAD_XX.avi;F
2800;1035_IWW_FEA_XX.avi;F
6440;1079_ITS_HAP_XX.avi;H
1302;1017_IEO_SAD_LO.avi;N
3268;1041_IEO_ANG_MD.avi;A
3180;1040_IEO_HAP_MD.avi;H
5348;1066_TAI_FEA_XX.avi;N
2853;1036_IEO_HAP_HI.avi;H
270;1004_IOM_FEA_XX.avi;F
2140;1027_IWW_NEU_XX.avi;N
4098;1051_TIE_SAD_XX.avi;N
442;1006_TAI_NEU_XX.avi;N
5926;1073_MTI_SAD_XX.avi;N
6667;1082_IWL_NEU_XX.avi;N
3735;1046_ITS_HAP_XX.avi;H
5544;1068_TSI_NEU_XX.avi;N
6012;1074_IWL_NEU_XX.avi;N
6703;1083_IEO_NEU_XX.avi;N
1642;1021_IOM_NEU_XX.avi;H
1326;1017_IWW_NEU_XX.avi;N
329;1005_IEO_HAP_HI.avi;H
426;1006_TIE_SAD_XX.avi;S
7103;1087_TSI_SAD_XX.avi;S
5610;1069_ITH_SAD_XX.avi;S
6806;1084_TIE_DIS_XX.avi;D
7379;1091_TIE_FEA_XX.avi;F
5931;1073_IWL_HAP_XX.avi;H
1919;1024_ITH_HAP_XX.avi;A
4621;1057_IWL_ANG_XX.avi;A
1789;1023_IEO_SAD_MD.avi;N
6616;1081_WSI_HAP_XX.avi;H
2897;1036_IWL_HAP_XX.avi;A
6102;1075_ITH_SAD_XX.avi;S
4993;1062_IEO_FEA_MD.avi;N
7263;1089_ITS_FEA_XX.avi;F
2841;1035_TSI_ANG_XX.avi;D
6881;1085_IEO_DIS_MD.avi;D
6307;1078_IEO_DIS_MD.avi;D
5506;1068_IWW_FEA_XX.avi;A
4076;1050_WSI_SAD_XX.avi;A
77;1001_WSI_SAD_XX.avi;N
6840;1084_ITH_ANG_XX.avi;F
1438;1018_DFA_NEU_XX.avi;N
963;1012_TSI_DIS_XX.avi;D
6149;1076_TIE_ANG_XX.avi;A
7021;1086_TSI_SAD_XX.avi;N
726;1010_IEO_HAP_MD.avi;H
3730;1046_DFA_SAD_XX.avi;N
5298;1065_TSI_NEU_XX.avi;N
5199;1064_ITH_HAP_XX.avi;H
6119;1075_TSI_HAP_XX.avi;H
4465;1055_ITH_DIS_XX.avi;D
1687;1021_ITS_ANG_XX.avi;N
6605;1081_ITS_SAD_XX.avi;N
3672;1046_IEO_HAP_MD.avi;H
2960;1037_IWW_NEU_XX.avi;N
3172;1039_WSI_NEU_XX.avi;N
7231;1089_TAI_SAD_XX.avi;F
5241;1065_IEO_DIS_LO.avi;D
5839;1072_TAI_ANG_XX.avi;A
6344;1078_IWL_DIS_XX.avi;D
377;1005_IWL_DIS_XX.avi;D
3996;1049_WSI_FEA_XX.avi;S
3078;1038_ITS_NEU_XX.avi;D
2682;1033_WSI_SAD_XX.avi;S
6775;1083_TSI_SAD_XX.avi;S
1316;1017_TIE_SAD_XX.avi;N
565;1007_TSI_DIS_XX.avi;D
2582;1032_DFA_SAD_XX.avi;N
6874;1085_IEO_ANG_LO.avi;N
7283;1090_IEO_SAD_HI.avi;N
3016;1038_IEO_HAP_MD.avi;H
7384;1091_IOM_ANG_XX.avi;D
4570;1056_WSI_FEA_XX.avi;F
3723;1046_ITH_HAP_XX.avi;H
1296;1016_WSI_FEA_XX.avi;N
6179;1076_IWL_ANG_XX.avi;A
3665;1045_WSI_HAP_XX.avi;H
6067;1075_TIE_ANG_XX.avi;A
3970;1049_ITH_SAD_XX.avi;S
3411;1042_ITS_DIS_XX.avi;N
6336;1078_MTI_ANG_XX.avi;A
6540;1081_IEO_HAP_LO.avi;H
2095;1026_ITS_HAP_XX.avi;H
5551;1068_WSI_HAP_XX.avi;H
3647;1045_DFA_HAP_XX.avi;H
611;1008_TAI_DIS_XX.avi;S
3998;1050_IEO_NEU_XX.avi;N
2425;1030_ITS_ANG_XX.avi;A
485;1006_WSI_HAP_XX.avi;H
6944;1085_WSI_HAP_XX.avi;H
4937;1061_TAI_ANG_XX.avi;A
3559;1044_ITH_HAP_XX.avi;H
2;1001_IEO_HAP_HI.avi;H
4498;1056_IEO_ANG_MD.avi;A
1929;1024_DFA_DIS_XX.avi;N
1578;1020_MTI_NEU_XX.avi;N
5606;1069_IWL_FEA_XX.avi;F
2903;1036_ITH_HAP_XX.avi;F
3681;1046_IEO_FEA_MD.avi;N
1901;1024_TAI_HAP_XX.avi;N
2542;1032_TIE_FEA_XX.avi;N
4330;1054_IEO_SAD_LO.avi;S
492;1007_IEO_HAP_MD.avi;H
4197;1052_TAI_HAP_XX.avi;H
86;1002_IEO_SAD_MD.avi;N
3583;1044_WSI_HAP_XX.avi;H
1024;1013_ITH_SAD_XX.avi;F
4260;1053_TIE_NEU_XX.avi;N
6400;1079_IOM_ANG_XX.avi;A
384;1005_DFA_NEU_XX.avi;N
5016;1062_TAI_NEU_XX.avi;N
1512;1019_IWL_FEA_XX.avi;N
5294;1065_ITS_SAD_XX.avi;N
1214;1015_WSI_FEA_XX.avi;F
2356;1029_WSI_FEA_XX.avi;F
7013;1086_ITS_NEU_XX.avi;N
795;1010_TSI_HAP_XX.avi;H
1982;1025_TAI_NEU_XX.avi;N
1905;1024_TAI_DIS_XX.avi;D
3515;1044_IEO_ANG_HI.avi;A
7438;1091_WSI_ANG_XX.avi;A
852;1011_IWL_NEU_XX.avi;N
5304;1065_WSI_NEU_XX.avi;N
5286;1065_DFA_NEU_XX.avi;N
2162;1027_IWL_FEA_XX.avi;N
2307;1029_IWW_ANG_XX.avi;N
6786;1084_IEO_HAP_LO.avi;H
4992;1062_IEO_FEA_LO.avi;F
815;1011_IEO_ANG_HI.avi;A
2009;1025_DFA_ANG_XX.avi;A
1083;1014_IWW_ANG_XX.avi;A
2318;1029_MTI_SAD_XX.avi;S
1045;1013_TSI_DIS_XX.avi;D
6314;1078_TIE_DIS_XX.avi;D
5762;1071_MTI_SAD_XX.avi;S
2170;1027_DFA_NEU_XX.avi;N
2661;1033_ITH_DIS_XX.avi;D
1571;1020_IWW_DIS_XX.avi;S
5547;1068_TSI_ANG_XX.avi;A
6279;1077_ITS_FEA_XX.avi;F
1568;1020_IWW_SAD_XX.avi;S
6647;1082_IOM_FEA_XX.avi;D
5944;1073_DFA_SAD_XX.avi;S
2258;1028_ITS_NEU_XX.avi;N
194;1003_IWW_FEA_XX.avi;F
2997;1037_ITS_HAP_XX.avi;H
2493;1031_ITH_HAP_XX.avi;N
1932;1024_ITS_SAD_XX.avi;F
924;1012_TAI_SAD_XX.avi;S
7096;1087_ITS_HAP_XX.avi;H
1011;1013_MTI_HAP_XX.avi;H
3701;1046_IWW_ANG_XX.avi;D
7375;1091_TIE_NEU_XX.avi;N
6967;1086_TIE_SAD_XX.avi;N
6482;1080_IOM_ANG_XX.avi;A
7127;1088_IEO_DIS_MD.avi;N
1836;1023_ITH_NEU_XX.avi;N
6480;1080_IOM_HAP_XX.avi;H
5473;1067_WSI_DIS_XX.avi;A
2856;1036_IEO_SAD_HI.avi;S
5795;1071_TSI_DIS_XX.avi;D
7148;1088_TAI_HAP_XX.avi;H
2593;1032_TSI_HAP_XX.avi;H
6988;1086_TAI_DIS_XX.avi;D
6976;1086_IOM_DIS_XX.avi;D
6653;1082_IWW_FEA_XX.avi;D
6575;1081_TAI_SAD_XX.avi;N
2627;1033_IOM_HAP_XX.avi;H
2937;1037_IEO_SAD_MD.avi;S
5664;1070_IOM_FEA_XX.avi;N
7174;1088_DFA_ANG_XX.avi;A
1562;1020_IOM_SAD_XX.avi;S
3706;1046_TAI_SAD_XX.avi;N
1490;1019_IWW_NEU_XX.avi;N
5873;1072_TSI_HAP_XX.avi;H
500;1007_IEO_FEA_LO.avi;N
2013;1025_ITS_HAP_XX.avi;H
3931;1049_IEO_DIS_HI.avi;D
6353;1078_DFA_SAD_XX.avi;N
3470;1043_IWL_NEU_XX.avi;N
4362;1054_TAI_SAD_XX.avi;F
3615;1045_IOM_DIS_XX.avi;D
4884;1060_ITS_SAD_XX.avi;N
6549;1081_IEO_FEA_LO.avi;N
5472;1067_WSI_FEA_XX.avi;F
7173;1088_DFA_SAD_XX.avi;N
6046;1074_WSI_FEA_XX.avi;S
72;1001_TSI_ANG_XX.avi;A
2804;1035_TAI_SAD_XX.avi;D
4854;1060_TAI_SAD_XX.avi;F
5290;1065_DFA_FEA_XX.avi;N
5024;1062_MTI_SAD_XX.avi;F
582;1008_IEO_FEA_LO.avi;F
6754;1083_IWL_DIS_XX.avi;D
718;1009_WSI_NEU_XX.avi;N
6869;1085_IEO_HAP_MD.avi;H
6382;1079_IEO_ANG_LO.avi;D
3369;1042_IOM_DIS_XX.avi;D
6368;1078_TSI_DIS_XX.avi;D
2591;1032_ITS_DIS_XX.avi;N
2933;1037_IEO_HAP_LO.avi;H
2244;1028_IWL_FEA_XX.avi;S
1073;1014_TIE_DIS_XX.avi;S
5066;1063_IEO_HAP_MD.avi;H
3721;1046_IWL_DIS_XX.avi;D
838;1011_IWW_FEA_XX.avi;N
5771;1071_IWL_DIS_XX.avi;D
3062;1038_IWL_SAD_XX.avi;A
3374;1042_IWW_FEA_XX.avi;F
4155;1051_TSI_DIS_XX.avi;D
1453;1018_TSI_ANG_XX.avi;A
3396;1042_ITH_SAD_XX.avi;N
6670;1082_IWL_ANG_XX.avi;A
3009;1037_WSI_HAP_XX.avi;H
1550;1020_IEO_FEA_HI.avi;F
7368;1091_IEO_ANG_HI.avi;A
6765;1083_DFA_FEA_XX.avi;S
0;1001_IEO_HAP_LO.avi;H
3781;1047_IWW_HAP_XX.avi;H
5803;1072_IEO_HAP_LO.avi;H
3696;1046_IOM_FEA_XX.avi;N
4911;1061_IEO_FEA_MD.avi;N
6599;1081_DFA_SAD_XX.avi;N
3095;1038_WSI_DIS_XX.avi;D
1956;1025_IEO_ANG_MD.avi;A
5526;1068_ITH_NEU_XX.avi;N
4490;1056_IEO_NEU_XX.avi;N
6809;1084_IOM_SAD_XX.avi;F
5860;1072_DFA_NEU_XX.avi;N
4959;1061_DFA_HAP_XX.avi;H
2481;1031_MTI_HAP_XX.avi;N
6622;1082_IEO_HAP_LO.avi;H
5011;1062_IWW_HAP_XX.avi;H
4865;1060_IWL_HAP_XX.avi;H
4411;1055_IEO_HAP_HI.avi;H
5938;1073_ITH_SAD_XX.avi;S
7014;1086_ITS_HAP_XX.avi;H
2489;1031_IWL_ANG_XX.avi;N
5453;1067_DFA_ANG_XX.avi;A
886;1011_WSI_FEA_XX.avi;F
2782;1035_IEO_DIS_MD.avi;D
1738;1022_TAI_SAD_XX.avi;N
2224;1028_IWW_SAD_XX.avi;S
3804;1047_ITH_NEU_XX.avi;F
4360;1054_TAI_NEU_XX.avi;N
3388;1042_IWL_NEU_XX.avi;N
5784;1071_ITS_NEU_XX.avi;S
2846;1035_WSI_SAD_XX.avi;D
2838;1035_TSI_NEU_XX.avi;N
351;1005_IOM_ANG_XX.avi;A
1403;1018_IOM_HAP_XX.avi;H
728;1010_IEO_SAD_LO.avi;N
6821;1084_TAI_SAD_XX.avi;S
6206;1076_WSI_HAP_XX.avi;H
5378;1066_ITS_FEA_XX.avi;N
2380;1030_IOM_NEU_XX.avi;N
5554;1068_WSI_FEA_XX.avi;A
5543;1068_ITS_DIS_XX.avi;D
3057;1038_MTI_ANG_XX.avi;A
668;1009_TIE_FEA_XX.avi;F
6252;1077_MTI_HAP_XX.avi;H
6915;1085_IWL_SAD_XX.avi;N
1247;1016_IWW_ANG_XX.avi;A
136;1002_ITH_FEA_XX.avi;D
6410;1079_TAI_HAP_XX.avi;H
2442;1031_IEO_HAP_MD.avi;N
4544;1056_ITH_SAD_XX.avi;S
3575;1044_ITS_DIS_XX.avi;S
6244;1077_IWW_DIS_XX.avi;D
7286;1090_IEO_ANG_HI.avi;A
6000;1074_TAI_NEU_XX.avi;N
5923;1073_TAI_DIS_XX.avi;S
5650;1070_IEO_FEA_HI.avi;A
3849;1048_IEO_DIS_HI.avi;S
4460;1055_ITH_NEU_XX.avi;N
7350;1090_TSI_ANG_XX.avi;A
1833;1023_IWL_ANG_XX.avi;A
6098;1075_IWL_FEA_XX.avi;F
4317;1053_TSI_ANG_XX.avi;A
4342;1054_TIE_NEU_XX.avi;N
3510;1044_IEO_SAD_LO.avi;S
4153;1051_TSI_ANG_XX.avi;A
5263;1065_TAI_HAP_XX.avi;H
1855;1023_TSI_HAP_XX.avi;H
640;1008_ITS_FEA_XX.avi;F
1681;1021_DFA_ANG_XX.avi;N
3810;1047_DFA_NEU_XX.avi;N
3542;1044_TAI_SAD_XX.avi;S
405;1005_WSI_ANG_XX.avi;N
2538;1032_TIE_NEU_XX.avi;N
960;1012_TSI_SAD_XX.avi;F
4709;1058_ITH_ANG_XX.avi;A
3249;1040_TSI_HAP_XX.avi;H
6275;1077_ITS_NEU_XX.avi;N
1278;1016_DFA_FEA_XX.avi;F
662;1009_IEO_DIS_MD.avi;F
2001;1025_ITH_HAP_XX.avi;H
1817;1023_IWW_DIS_XX.avi;D
4981;1061_WSI_DIS_XX.avi;D
7398;1091_TAI_DIS_XX.avi;S
7162;1088_IWL_ANG_XX.avi;A
6051;1075_IEO_HAP_HI.avi;H
3905;1048_TSI_HAP_XX.avi;H
5641;1070_IEO_HAP_HI.avi;H
1686;1021_ITS_SAD_XX.avi;N
2786;1035_TIE_SAD_XX.avi;N
150;1002_TSI_NEU_XX.avi;N
1616;1020_WSI_SAD_XX.avi;S
821;1011_IEO_DIS_HI.avi;D
6520;1080_DFA_DIS_XX.avi;D
2111;1026_WSI_DIS_XX.avi;D
4369;1054_MTI_ANG_XX.avi;A
1645;1021_IOM_ANG_XX.avi;A
3640;1045_ITH_NEU_XX.avi;N
6309;1078_TIE_NEU_XX.avi;N
544;1007_ITH_SAD_XX.avi;S
3134;1039_TAI_FEA_XX.avi;F
4743;1059_IEO_ANG_LO.avi;N
2488;1031_IWL_SAD_XX.avi;N
2513;1031_TSI_ANG_XX.avi;D
1001;1013_IWW_ANG_XX.avi;A
6656;1082_TAI_HAP_XX.avi;H
1951;1025_IEO_HAP_HI.avi;H
4103;1051_IOM_HAP_XX.avi;H
5970;1074_IEO_SAD_LO.avi;N
1671;1021_IWL_DIS_XX.avi;S
5833;1072_IWW_ANG_XX.avi;A
3209;1040_IWW_ANG_XX.avi;N
3259;1040_WSI_DIS_XX.avi;S
6655;1082_TAI_NEU_XX.avi;N
6010;1074_MTI_FEA_XX.avi;F
6205;1076_WSI_NEU_XX.avi;N
2347;1029_TSI_HAP_XX.avi;H
4749;1059_IEO_DIS_LO.avi;D
2474;1031_TAI_NEU_XX.avi;N
5088;1063_IOM_SAD_XX.avi;F
6366;1078_TSI_ANG_XX.avi;A
1750;1022_IWL_SAD_XX.avi;S
2500;1031_DFA_SAD_XX.avi;N
3093;1038_WSI_ANG_XX.avi;A
4510;1056_TIE_FEA_XX.avi;F
3854;1048_TIE_FEA_XX.avi;D
6375;1079_IEO_NEU_XX.avi;N
3821;1047_ITS_DIS_XX.avi;F
3876;1048_MTI_SAD_XX.avi;N
3919;1049_IEO_HAP_HI.avi;H
1357;1017_DFA_HAP_XX.avi;H
7394;1091_TAI_HAP_XX.avi;H
1306;1017_IEO_ANG_MD.avi;N
699;1009_ITH_DIS_XX.avi;S
2128;1027_TIE_NEU_XX.avi;N
3215;1040_TAI_ANG_XX.avi;N
5557;1069_IEO_HAP_LO.avi;H
3511;1044_IEO_SAD_MD.avi;N
1893;1024_IOM_DIS_XX.avi;S
5440;1067_IWL_SAD_XX.avi;N
6522;1080_ITS_HAP_XX.avi;H
6893;1085_IOM_FEA_XX.avi;N
3032;1038_TIE_SAD_XX.avi;S
2387;1030_IWW_HAP_XX.avi;H
3620;1045_IWW_FEA_XX.avi;F
6739;1083_TAI_SAD_XX.avi;S
2116;1027_IEO_SAD_LO.avi;N
618;1008_IWL_NEU_XX.avi;N
5503;1068_IWW_HAP_XX.avi;H
5093;1063_IWW_HAP_XX.avi;H
518;1007_IWW_NEU_XX.avi;N
3936;1049_TIE_FEA_XX.avi;F
3924;1049_IEO_ANG_MD.avi;H
3550;1044_MTI_FEA_XX.avi;F
1694;1021_TSI_FEA_XX.avi;F
4410;1055_IEO_HAP_MD.avi;H
2283;1029_IEO_ANG_LO.avi;N
4347;1054_TIE_DIS_XX.avi;F
7311;1090_TAI_NEU_XX.avi;N
7016;1086_ITS_ANG_XX.avi;A
2781;1035_IEO_DIS_LO.avi;D
4059;1050_DFA_ANG_XX.avi;A
5461;1067_ITS_DIS_XX.avi;D
7221;1089_IOM_FEA_XX.avi;F
6157;1076_IOM_DIS_XX.avi;D
6191;1076_DFA_ANG_XX.avi;N
2690;1034_IEO_SAD_LO.avi;N
7039;1087_IEO_ANG_MD.avi;A
3625;1045_TAI_ANG_XX.avi;D
7009;1086_DFA_SAD_XX.avi;D
6675;1082_ITH_SAD_XX.avi;S
4532;1056_MTI_SAD_XX.avi;S
6800;1084_IEO_DIS_HI.avi;D
1128;1014_WSI_NEU_XX.avi;N
6785;1084_IEO_NEU_XX.avi;N
356;1005_IWW_SAD_XX.avi;N
5701;1070_DFA_DIS_XX.avi;D
2545;1032_IOM_HAP_XX.avi;H
7295;1090_TIE_SAD_XX.avi;N
1902;1024_TAI_SAD_XX.avi;S
540;1007_IWL_FEA_XX.avi;F
4194;1052_IWW_FEA_XX.avi;F
6536;1080_WSI_ANG_XX.avi;A
3283;1041_IOM_HAP_XX.avi;N
56;1001_ITH_DIS_XX.avi;D
4035;1050_TAI_ANG_XX.avi;A
1722;1022_TIE_FEA_XX.avi;F
3300;1041_MTI_NEU_XX.avi;N
6590;1081_IWL_DIS_XX.avi;D
4970;1061_TSI_NEU_XX.avi;N
6421;1079_IWL_NEU_XX.avi;N
5824;1072_IOM_NEU_XX.avi;N
6747;1083_MTI_FEA_XX.avi;S
3909;1048_TSI_DIS_XX.avi;D
7345;1090_ITS_FEA_XX.avi;N
1660;1021_MTI_NEU_XX.avi;H
3135;1039_TAI_DIS_XX.avi;D
1334;1017_TAI_SAD_XX.avi;N
1321;1017_IOM_HAP_XX.avi;H
5548;1068_TSI_FEA_XX.avi;A
3953;1049_TAI_ANG_XX.avi;A
4788;1059_ITH_NEU_XX.avi;N
4810;1059_TSI_FEA_XX.avi;F
6330;1078_TAI_ANG_XX.avi;A
3269;1041_IEO_ANG_HI.avi;A
1028;1013_DFA_NEU_XX.avi;N
4014;1050_TIE_NEU_XX.avi;D
3593;1045_IEO_SAD_MD.avi;N
7090;1087_DFA_HAP_XX.avi;H
1053;1014_IEO_HAP_LO.avi;H
4307;1053_DFA_DIS_XX.avi;D
5245;1065_TIE_HAP_XX.avi;H
987;1013_TIE_HAP_XX.avi;H
5741;1071_TIE_DIS_XX.avi;D
6987;1086_TAI_FEA_XX.avi;D
5256;1065_IWW_NEU_XX.avi;N
6972;1086_IOM_HAP_XX.avi;H
3445;1043_TIE_DIS_XX.avi;S
4826;1060_IEO_ANG_MD.avi;N
4734;1058_WSI_FEA_XX.avi;A
4831;1060_IEO_DIS_LO.avi;D
6070;1075_IOM_NEU_XX.avi;N
6452;1079_WSI_HAP_XX.avi;H
6699;1082_WSI_SAD_XX.avi;S
1990;1025_MTI_SAD_XX.avi;S
2849;1035_WSI_DIS_XX.avi;D
1728;1022_IOM_FEA_XX.avi;F
6636;1082_IEO_DIS_HI.avi;D
3817;1047_ITS_HAP_XX.avi;H
6524;1080_ITS_ANG_XX.avi;H
5818;1072_TIE_NEU_XX.avi;N
7217;1089_IOM_NEU_XX.avi;N
100;1002_TIE_FEA_XX.avi;F
1409;1018_IWW_HAP_XX.avi;H
2643;1033_TAI_DIS_XX.avi;D
6838;1084_ITH_HAP_XX.avi;H
628;1008_ITH_FEA_XX.avi;S
3839;1048_IEO_SAD_MD.avi;N
2104;1026_TSI_FEA_XX.avi;F
7116;1088_IEO_HAP_HI.avi;H
4232;1052_TSI_NEU_XX.avi;N
5096;1063_IWW_FEA_XX.avi;F
2761;1034_TSI_DIS_XX.avi;N
1612;1020_TSI_FEA_XX.avi;F
4487;1055_WSI_ANG_XX.avi;A
2048;1026_TIE_SAD_XX.avi;F
902;1012_IEO_DIS_MD.avi;D
2869;1036_TIE_ANG_XX.avi;A
888;1012_IEO_NEU_XX.avi;N
576;1008_IEO_SAD_LO.avi;N
6816;1084_IWW_ANG_XX.avi;A
3884;1048_IWL_FEA_XX.avi;F
2909;1036_DFA_HAP_XX.avi;F
698;1009_ITH_FEA_XX.avi;F
4816;1059_WSI_FEA_XX.avi;F
2405;1030_IWL_HAP_XX.avi;H
5277;1065_IWL_ANG_XX.avi;A
1785;1023_IEO_HAP_LO.avi;H
2054;1026_IOM_SAD_XX.avi;N
3597;1045_IEO_ANG_HI.avi;A
4126;1051_IWL_NEU_XX.avi;N
6721;1083_TIE_SAD_XX.avi;S
4462;1055_ITH_SAD_XX.avi;N
4624;1057_ITH_NEU_XX.avi;N
3177;1039_WSI_DIS_XX.avi;D
5921;1073_TAI_ANG_XX.avi;D
747;1010_IOM_HAP_XX.avi;H
7245;1089_IWL_FEA_XX.avi;S
354;1005_IWW_NEU_XX.avi;N
2060;1026_IWW_SAD_XX.avi;N
2998;1037_ITS_SAD_XX.avi;F
2626;1033_IOM_NEU_XX.avi;N
3042;1038_IWW_NEU_XX.avi;D
6730;1083_IOM_DIS_XX.avi;S
6745;1083_MTI_SAD_XX.avi;S
1481;1019_TIE_ANG_XX.avi;N
3999;1050_IEO_HAP_LO.avi;H
3316;1041_ITH_FEA_XX.avi;D
1702;1022_IEO_NEU_XX.avi;N
6982;1086_IWW_DIS_XX.avi;D
7078;1087_IWL_HAP_XX.avi;H
3358;1042_TIE_NEU_XX.avi;N
1239;1016_IOM_HAP_XX.avi;H
2622;1033_TIE_SAD_XX.avi;N
2052;1026_IOM_NEU_XX.avi;N
5770;1071_IWL_FEA_XX.avi;F
2066;1026_TAI_SAD_XX.avi;N
5751;1071_IWW_ANG_XX.avi;A
5597;1069_MTI_HAP_XX.avi;H
2887;1036_TAI_ANG_XX.avi;A
5898;1073_IEO_DIS_MD.avi;F
542;1007_ITH_NEU_XX.avi;N
1909;1024_MTI_ANG_XX.avi;A
34;1001_TAI_HAP_XX.avi;H
6973;1086_IOM_SAD_XX.avi;N
1049;1013_WSI_ANG_XX.avi;A
7029;1086_WSI_FEA_XX.avi;F
5722;1071_IEO_HAP_MD.avi;H
6042;1074_WSI_NEU_XX.avi;N
365;1005_TAI_DIS_XX.avi;N
919;1012_IWW_ANG_XX.avi;A
4946;1061_IWL_NEU_XX.avi;N
2119;1027_IEO_ANG_LO.avi;N
681;1009_IWW_DIS_XX.avi;S
5331;1066_TIE_DIS_XX.avi;S
5704;1070_ITS_SAD_XX.avi;N
955;1012_ITS_ANG_XX.avi;N
25;1001_IOM_FEA_XX.avi;A
1452;1018_TSI_SAD_XX.avi;N
170;1003_IEO_ANG_MD.avi;F
1948;1025_IEO_NEU_XX.avi;N
217;1003_ITH_ANG_XX.avi;H
5808;1072_IEO_SAD_HI.avi;D
1190;1015_ITH_FEA_XX.avi;F
2992;1037_DFA_SAD_XX.avi;S
1105;1014_ITH_HAP_XX.avi;H
1730;1022_IWW_NEU_XX.avi;N
1856;1023_TSI_SAD_XX.avi;N
4107;1051_IOM_DIS_XX.avi;F
4968;1061_ITS_FEA_XX.avi;F
6619;1081_WSI_FEA_XX.avi;F
4450;1055_MTI_SAD_XX.avi;N
3038;1038_IOM_SAD_XX.avi;A
743;1010_TIE_ANG_XX.avi;A
1181;1015_IWL_HAP_XX.avi;H
6373;1078_WSI_FEA_XX.avi;F
6316;1078_IOM_HAP_XX.avi;H
7061;1087_IWW_SAD_XX.avi;S
6361;1078_ITS_FEA_XX.avi;F
5581;1069_IOM_ANG_XX.avi;A
2083;1026_ITH_HAP_XX.avi;H
1883;1024_TIE_HAP_XX.avi;N
2557;1032_TAI_HAP_XX.avi;H
7432;1091_TSI_ANG_XX.avi;A
6446;1079_TSI_HAP_XX.avi;H
1014;1013_MTI_FEA_XX.avi;N
1476;1019_IEO_DIS_MD.avi;D
596;1008_IOM_SAD_XX.avi;F
8;1001_IEO_ANG_HI.avi;A
2561;1032_TAI_DIS_XX.avi;S
4871;1060_ITH_HAP_XX.avi;H
1160;1015_IOM_FEA_XX.avi;N
753;1010_IWW_HAP_XX.avi;H
1036;1013_ITS_SAD_XX.avi;F
5942;1073_DFA_NEU_XX.avi;N
6648;1082_IOM_DIS_XX.avi;D
5932;1073_IWL_SAD_XX.avi;N
6064;1075_TIE_NEU_XX.avi;S
5480;1068_IEO_SAD_HI.avi;D
401;1005_TSI_DIS_XX.avi;D
1762;1022_DFA_SAD_XX.avi;N
7159;1088_IWL_NEU_XX.avi;N
6939;1085_TSI_SAD_XX.avi;N
926;1012_TAI_FEA_XX.avi;F
5187;1064_MTI_HAP_XX.avi;H
2886;1036_TAI_SAD_XX.avi;S
7227;1089_IWW_FEA_XX.avi;F
2453;1031_IEO_DIS_LO.avi;S
2173;1027_DFA_ANG_XX.avi;A
1574;1020_TAI_SAD_XX.avi;S
1827;1023_MTI_ANG_XX.avi;D
6197;1076_ITS_FEA_XX.avi;S
4146;1051_ITS_SAD_XX.avi;N
7312;1090_TAI_HAP_XX.avi;H
2902;1036_ITH_NEU_XX.avi;N
1792;1023_IEO_ANG_MD.avi;A
3137;1039_MTI_HAP_XX.avi;H
463;1006_ITH_ANG_XX.avi;A
2876;1036_IOM_FEA_XX.avi;F
4043;1050_MTI_DIS_XX.avi;A
6830;1084_MTI_DIS_XX.avi;S
4355;1054_IWW_HAP_XX.avi;H
4451;1055_MTI_ANG_XX.avi;A
4210;1052_IWL_SAD_XX.avi;N
7354;1090_WSI_HAP_XX.avi;H
1331;1017_IWW_DIS_XX.avi;S
3594;1045_IEO_SAD_HI.avi;N
4458;1055_IWL_FEA_XX.avi;F
3643;1045_ITH_ANG_XX.avi;A
1121;1014_ITS_DIS_XX.avi;D
6496;1080_TAI_DIS_XX.avi;D
6857;1084_TSI_SAD_XX.avi;S
4655;1058_IEO_HAP_LO.avi;H
190;1003_IWW_NEU_XX.avi;N
1791;1023_IEO_ANG_LO.avi;D
4674;1058_TIE_FEA_XX.avi;F
6839;1084_ITH_SAD_XX.avi;F
7376;1091_TIE_HAP_XX.avi;H
162;1003_IEO_NEU_XX.avi;N
3986;1049_TSI_NEU_XX.avi;N
